account_no,amount,location,transaction_count,transaction_type,device_type,is_new_location,is_fraud
ACC3342,44142,Lahore,9,Transfer,Mobile,0,0
ACC4327,143431,Islamabad,4,Payment,POS,0,0
ACC4357,112289,Quetta,5,Payment,Desktop,0,0
ACC9958,162969,Karachi,7,Payment,Mobile,0,0
ACC6083,39412,Quetta,3,Transfer,Mobile,0,0
ACC8022,193044,Lahore,2,Deposit,ATM,0,0
ACC8591,186360,Lahore,8,Deposit,Mobile,0,0
ACC1242,35672,Karachi,8,Transfer,POS,0,0
ACC6413,55719,Karachi,8,Payment,Mobile,0,0
ACC3713,34687,Quetta,2,Withdrawal,Desktop,0,0
ACC5174,187051,Lahore,2,Payment,Desktop,0,0
ACC5921,174009,Quetta,3,Deposit,ATM,0,0
ACC5126,16271,Islamabad,3,Deposit,Mobile,0,0
ACC4881,161817,Karachi,9,Deposit,ATM,0,0
ACC2180,13300,Karachi,4,Deposit,ATM,0,0
ACC7968,62901,Quetta,3,Payment,Mobile,0,0
ACC5725,79913,Lahore,6,Payment,ATM,0,0
ACC9445,4100,Karachi,4,Deposit,Mobile,0,0
ACC2892,27423,Karachi,1,Transfer,Desktop,0,0
ACC2804,121869,Peshawar,1,Deposit,Mobile,0,0
ACC5870,40831,Islamabad,4,Withdrawal,ATM,0,0
ACC7372,171976,Lahore,3,Transfer,ATM,1,0
ACC6277,116953,Islamabad,7,Transfer,POS,0,0
ACC8686,12561,Karachi,7,Transfer,ATM,0,0
ACC4082,930245,Karachi,34,Transfer,Mobile,1,1
ACC6866,30838,Karachi,9,Deposit,ATM,0,0
ACC8687,136172,Islamabad,8,Withdrawal,Desktop,1,0
ACC8467,141928,Islamabad,3,Withdrawal,POS,0,0
ACC1408,352643,Lahore,46,Withdrawal,Desktop,1,1
ACC4007,13202,Peshawar,9,Deposit,Mobile,0,0
ACC2282,116351,Karachi,8,Deposit,Desktop,1,0
ACC6393,14328,Lahore,5,Transfer,Mobile,0,0
